"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/03/2024";"0000";"28,1";"28,2";"27,9";"78,0";"81,0";"77,0";"23,8";"24,3";"23,8";"1006,1";"1006,1";"1005,2";"1,4";"64,0";"6,1";"";"0,0"
"01/03/2024";"0100";"27,8";"28,1";"27,8";"81,0";"81,0";"78,0";"24,1";"24,4";"23,8";"1006,7";"1006,7";"1006,1";"1,0";"43,0";"6,1";"";"0,0"
"01/03/2024";"0200";"27,4";"28,0";"27,4";"83,0";"83,0";"79,0";"24,2";"24,2";"24,0";"1007,0";"1007,1";"1006,7";"0,9";"36,0";"4,9";"";"0,0"
"01/03/2024";"0300";"26,7";"27,4";"26,6";"87,0";"88,0";"83,0";"24,4";"24,5";"24,2";"1006,5";"1007,0";"1006,5";"0,7";"41,0";"2,5";"";"0,0"
"01/03/2024";"0400";"26,2";"26,7";"26,2";"90,0";"90,0";"87,0";"24,3";"24,4";"24,2";"1006,0";"1006,6";"1006,0";"0,6";"26,0";"1,9";"";"0,0"
"01/03/2024";"0500";"26,1";"26,2";"26,1";"90,0";"90,0";"90,0";"24,3";"24,5";"24,2";"1005,5";"1006,0";"1005,5";"0,6";"23,0";"1,6";"";"0,0"
"01/03/2024";"0600";"25,9";"26,2";"25,9";"91,0";"91,0";"90,0";"24,4";"24,5";"24,3";"1005,1";"1005,6";"1005,1";"0,3";"12,0";"1,6";"";"0,0"
"01/03/2024";"0700";"25,8";"26,0";"25,8";"92,0";"92,0";"91,0";"24,4";"24,4";"24,3";"1005,1";"1005,1";"1005,0";"0,3";"41,0";"1,9";"";"0,0"
"01/03/2024";"0800";"25,7";"26,0";"25,7";"93,0";"93,0";"92,0";"24,4";"24,5";"24,3";"1005,3";"1005,4";"1005,1";"0,3";"53,0";"2,1";"";"0,0"
"01/03/2024";"0900";"25,9";"26,1";"25,7";"93,0";"93,0";"93,0";"24,8";"24,9";"24,4";"1005,5";"1005,6";"1005,3";"0,3";"62,0";"1,6";"9,80";"0,0"
"01/03/2024";"1000";"27,0";"27,0";"25,9";"91,0";"94,0";"90,0";"25,4";"25,4";"24,8";"1006,1";"1006,1";"1005,5";"0,7";"40,0";"1,9";"143,70";"0,0"
"01/03/2024";"1100";"28,3";"28,4";"27,0";"81,0";"91,0";"81,0";"24,8";"25,6";"24,8";"1006,6";"1006,6";"1006,1";"0,9";"351,0";"2,9";"667,30";"0,0"
"01/03/2024";"1200";"29,4";"29,4";"27,9";"76,0";"83,0";"75,0";"24,7";"25,4";"24,3";"1007,1";"1007,1";"1006,6";"1,3";"340,0";"3,8";"1354,80";"0,0"
"01/03/2024";"1300";"30,4";"30,9";"29,1";"68,0";"77,0";"67,0";"23,9";"24,8";"23,4";"1006,8";"1007,2";"1006,8";"1,4";"322,0";"4,2";"2770,30";"0,0"
"01/03/2024";"1400";"31,7";"31,9";"30,2";"63,0";"69,0";"61,0";"23,9";"24,7";"23,0";"1006,3";"1006,8";"1006,3";"1,7";"309,0";"4,9";"3421,70";"0,0"
"01/03/2024";"1500";"32,3";"32,5";"31,1";"60,0";"66,0";"58,0";"23,5";"24,5";"22,4";"1005,6";"1006,3";"1005,6";"1,1";"19,0";"4,6";"3630,00";"0,0"
